no;urut;kode;pemda;pdrbb2013;pdrbb2014;pdrbb2015;pdrbb2016;pdrbb2017;pdrbb2018;pdrbb2019;pdrbb2020;pdrbb2021;pdrbb2022;pdrbb2023;gpdrbb2014;gpdrbb2015;gpdrbb2016;gpdrbb2017;gpdrbb2018;gpdrbb2019;gpdrbb2020;gpdrbb2021;gpdrbb2022;gpdrbb2023;bd2014;bd2015;bd2016;bd2017;bd2018;bd2019;bd2020;bd2021;bd2022;bd2023;prpad2014;prpad2015;prpad2016;prpad2017;prpad2018;prpad2019;prpad2020;prpad2021;prpad2022;prpad2023;prbm2014;prbm2015;prbm2016;prbm2017;prbm2018;prbm2019;prbm2020;prbm2021;prbm2022;prbm2023;eftpad2014;eftpad2015;eftpad2016;eftpad2017;eftpad2018;eftpad2019;eftpad2020;eftpad2021;eftpad2022;eftpad2023;ba2014;ba2015;ba2016;ba2017;ba2018;ba2019;ba2020;ba2021;ba2022;ba2023;psilpa2014;psilpa2015;psilpa2016;psilpa2017;psilpa2018;psilpa2019;psilpa2020;psilpa2021;psilpa2022;psilpa2023;size2014;size2015;size2016;size2017;size2018;size2019;size2020;size2021;size2022;size2023;opinib2014;opinib2015;opinib2016;opinib2017;opinib2018;opinib2019;opinib2020;opinib2021;opinib2022;opinib2023;area2014;area2015;area2016;area2017;area2018;area2019;area2020;area2021;area2022;area2023;adm2014;adm2015;adm2016;adm2017;adm2018;adm2019;adm2020;adm2021;adm2022;adm2023
58;70;7308;KABUPATEN BONE;7308;19867;23296;26254;29320;33121;36035;36561;39370;43641;46935;;;;;;;;;;;0,048017886;0,11905173;0,042018879;0,0333977;0,009875342;0,031331362;0,021828609;0,012792037;0,002145109;0,041605946;0,101278743;0,085479297;0,088202705;0,127391625;0,09515951;0,094326412;0,114678932;0,077035588;0,094743453;0,102518936;0,140941055;0,165165574;0,161724308;0,175285773;0,119445775;0,14068427;0,133307318;0,085683702;0,183634127;0,097073001;1,552467433;1,1157219;1,157549087;1,612339731;1,199401391;1,178392218;1,282966273;0,72455239;1,064332603;1,079838267;0,013438205;0,08030908;0,054460263;0,045628752;0,013685552;0,007963119;0,014737416;0,213787893;0,021615256;0,033230188;0,0890597;0,085413898;0,059104076;0,026931609;0,042259109;0,066917211;0,037722213;0,046465726;0,02511233;0,010551569;2,83025E+12;1,66591E+12;2,32726E+12;2,56847E+12;2,7231E+12;2,85544E+12;3,15426E+12;3,15374E+12;3,33159E+12;6,85606E+12;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
59;71;7503;KABUPATEN BONE BOLANGO;7503;2768;3138;3508;3850;4202;4579;4649;4876;5280;5699;;;;;;;;;;;0,034730802;0,042089163;0,007466804;0,002391389;0,038208877;0,039734131;0,099930057;0,065055939;0,018380324;0,030370304;0,073861852;0,077968951;0,070896171;0,098954928;0,066720483;0,077543951;0,078074331;0,089509634;0,102598582;0,133981901;0,212693241;0,185589128;0,188719441;0,193821559;0,204508168;0,192194457;0,128310558;0,150489379;0,153774837;0,163234209;2,782316447;0,913906591;1,042520171;1,167079281;0,806384977;0,870363204;0,720776088;0,76238671;1,065401975;1,175023311;0,043290834;0,025074238;0,05566631;0,009809101;0,057135922;0,044362305;0,1127603;0,094729669;0,052055561;0,081947107;0,073965503;0,061341933;0,076237693;0,042144483;0,04085779;0,007680548;0,01100786;0,044447768;0,117664952;0,060769631;1,12128E+12;9,90664E+11;1,19182E+12;1,19146E+12;1,40561E+12;1,46485E+12;1,47491E+12;1,55367E+12;1,64858E+12;1,62737E+12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
60;72;9116;KABUPATEN BOVEN DIGOEL;9116;3186;3546;3918;4265;4573;4892;4821;4939;5092;5342;;;;;;;;;;;0,004708024;0,007628324;0,01324068;0,008268742;0,021909045;0,037439968;0,066938527;0,062133678;0,078081666;0,000834649;0,012124791;0,020909238;0,021727966;0,02712266;0,025474757;0,025043076;0,024490319;0,031348485;0,025395247;0,026978735;0,399595845;0,332735834;0,273161691;0,233370365;0,308629531;0,278918139;0,232625141;0,176815768;0,200770475;0,2128496;0,262274137;2,540318034;1,522695079;1,468796457;1,44524457;1,181723262;0,892084201;1,352369823;1,54895448;1,202814699;0,038018133;0,030428076;0,103115253;0,024215431;0,006126518;0,013001561;0,079240038;0,000143813;0,001215712;0,032916455;0,043247646;0,031630738;0,13078594;0,150113051;0,15639739;0,088834233;0,117145657;0,139866289;0,162558478;0,071597855;2,72646E+12;2,17115E+12;3,07973E+12;3,20153E+12;3,41439E+12;3,75153E+12;3,81466E+12;3,81541E+12;3,83569E+12;3,71858E+12;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
61;73;3309;KABUPATEN BOYOLALI;3309;21117;23568;25757;27915;30259;32704;32688;34897;38788;42725;;;;;;;;;;;0,066494717;0,08100563;0,045232362;0,031274178;0,016994558;0,020143325;0,002496604;0,07355466;0,043956844;0,05798721;0,135939118;0,134544878;0,146631928;0,178275011;0,153945679;0,167734468;0,189532813;0,211901301;0,187446601;0,202296012;0,187796283;0,169238854;0,181752255;0,19556144;0,226485041;0,222788641;0,173138731;0,195655487;0,229419018;0,186508294;1,253877029;1,174692119;1,164769176;1,488964213;1,180618662;1,192214486;1,222471977;1,435365055;1,137123826;1,167078989;0,003884292;0,004743766;0,043554728;0,002927385;0,017701678;0,004051236;0,051344338;0,006124801;0,082704794;0,038880547;0,097057107;0,121690051;0,071774851;0,070626829;0,065729649;0,044090778;0,056166383;0,116311729;0,067352604;0,060870239;2,93881E+12;2,36255E+12;2,61163E+12;2,61399E+12;3,11609E+12;3,77014E+12;4,22769E+12;1,12403E+13;4,86628E+12;4,91461E+12;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;74;3329;KABUPATEN BREBES;3329;30900;34444;37449;39963;42956;46215;47059;48966;53648;57512;;;;;;;;;;;0,137081525;0,131522972;0,020553647;0,069813344;0,013912296;0,012531878;0,038678891;0,020931984;0,008137024;0,016574378;0,131008345;0,124918265;0,131847569;0,183294666;0,121549626;0,122412817;0,130483164;0,163974732;0,140274377;0,156076228;0,143847532;0,196283586;0,266312333;0,214459567;0,186580722;0,198553495;0,14637864;0,140527185;0,155492682;0,119745831;1,745414308;1,149065698;1,087671225;1,402373462;0,97421463;1,01859058;0,984678402;1,255024851;0,964146534;1,008622666;0,010514335;0,010745197;0,005324242;0,03718205;0,002922647;0,038099463;0,096589535;0,029358006;0,031989598;0,05442293;0,221131531;0,19427498;0,035970995;0,057665595;0,062476193;0,053647387;0,060325832;0,058741679;0,023677083;0,043674904;3,10158E+12;2,50488E+12;2,79287E+12;3,4697E+12;3,36688E+12;4,18746E+12;3,74076E+12;3,83848E+12;4,10322E+12;8,46034E+12;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;75;5108;KABUPATEN BULELENG;5108;22355;25170;27690;30319;32941;35509;33303;33363;35805;38351;;;;;;;;;;;0,051304259;0,161233335;0,007865718;0,019802802;0,033785548;0,034906331;0,136832333;0,04182316;0,000188837;0,002761855;0,142319589;0,151224482;0,136534926;0,206896367;0,163459474;0,1597555;0,159237147;0,188165167;0,19748641;0,207725491;0,117788631;0,121286465;0,156870825;0,139115814;0,098964591;0,121954162;0,129325563;0,097819554;0,074634767;0,086140156;1,247246866;1,320570101;1,031088589;1,293875654;0,903568726;0,830725717;0,793069845;1,093779145;0,976652083;0,949484657;0,028740383;0,045257896;0,020630353;0,011030409;0,044188057;0,064896859;0,145327217;0,119498179;0,02294902;0,008217081;0,060451531;0,084132137;0,01386101;0,042657625;0,02751107;0,033137406;0,034220787;0,034749609;0,026900946;0,028018803;1,93944E+12;2,12893E+12;1,96977E+12;2,2909E+12;2,39158E+12;2,60145E+12;2,78076E+12;2,9624E+12;2,95775E+12;3,0918E+12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
64;76;7302;KABUPATEN BULUKUMBA;7302;8374;9568;10770;12069;13199;14215;14565;15869;17233;18871;;;;;;;;;;;0,076137777;0,09402216;0,020648717;0,018373829;0,05168882;0,009310362;0,044052742;0,1001299;0,040233278;0,01881608;0,081470028;0,079587371;0,093418025;0,140438906;0,0965111;0,116289391;0,113914704;0,111902844;0,112724419;0,113373356;0,204176999;0,23742275;0,205635013;0,231038913;0,21773914;0,192614871;0,201649296;0,168469865;0,189476951;0,229083096;1,707462471;0,9666171;0,983784196;1,208728792;0,720774598;0,890423607;0,872657063;0,715161256;0,679438622;0,770512438;0,050123432;0,024637668;0,011614335;0,043225977;0,073511445;0,023456927;0,073971496;0,116256522;0,128972302;0,019417546;0,095241561;0,082090619;0,067573678;0,005761754;0,012953419;0,018250292;0,037039092;0,044107397;0,064810583;0,031010885;1,2814E+12;1,76154E+12;2,14903E+12;2,35136E+12;2,3896E+12;2,47135E+12;2,59952E+12;2,67864E+12;2,65989E+12;2,75359E+12;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
65;77;6501;KABUPATEN BULUNGAN;6501;12854;12976;13635;15265;16758;18265;18737;20240;24337;25642;;;;;;;;;;;0,157083372;0,061077421;0,0184996;0,00321789;0,070294881;0,070061523;0,019407094;0,078611568;0,213148971;0,272603293;0,079667831;0,1209164;0,082238752;0,110405622;0,105037401;0,107561496;0,115377257;0,123710221;0,169519571;0,129403007;0,411533894;0,364629017;0,258888392;0,145531598;0,17351904;0,192769863;0,151131063;0,156631073;0,201759647;0,250725748;1,781972734;1,576641085;1,123663246;1,46825726;1,523679993;1,457513131;1,445573836;1,525807476;1,83793995;1,467636809;0,176344353;0,14284221;0,010162362;0,081963184;0,013617299;0,019430541;0,036885848;0,043589305;0,035354737;0,082993967;0,721991525;0,33163269;0,192426012;0,14560021;0,091512124;0,047080677;0,038000813;0,129731544;0,250645492;0,291204219;6,43967E+12;5,11791E+12;6,40496E+12;5,98437E+12;6,03638E+12;5,93889E+12;5,74448E+12;5,51035E+12;5,84451E+12;1,29609E+13;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
66;78;1508;KABUPATEN BUNGO;1508;11809;12986;14371;16023;17326;18047;17306;20083;24910;26274;;;;;;;;;;;0,005053003;0,049965862;0,123673994;0,070343144;0,012339806;0,020931915;0,310030859;0,133992334;0,18461846;0,139406455;0,10326735;0,099503311;0,098959773;0,142959301;0,106082481;0,103957013;0,099043505;0,152234684;0,102697979;0,121653131;0,188977124;0,157236865;0,101513308;0,131095119;0,156227657;0,169178124;0,118938539;0,08941986;0,094674839;0,127905724;1,038888084;0,973495306;0,966999947;1,432231767;0,972333349;0,927491695;0,823052812;1,369366016;0,787315583;1,027078593;0,069996883;0,103911891;0,142338756;0,004575787;0,01315501;0,139494868;0,297799868;0,236639706;0,134400059;0,113100647;0,053034638;0,014259223;0,02933083;0,088751272;0,051316621;0,020556557;0,004568539;0,118352729;0,151663024;0,093696417;2,15563E+12;1,5964E+12;1,26264E+12;1,59842E+12;1,66719E+12;1,80426E+12;1,75498E+12;1,74734E+12;1,90042E+12;2,07401E+12;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;79;7205;KABUPATEN BUOL;7205;4176;4577;4809;5147;5517;5885;5638;6133;6713;7185;;;;;;;;;;;0,0396978;0,232996135;0,079138422;0,031048303;0,006777604;0,035064222;0,03546963;0,020879475;0,050937308;0,060087594;0,056033363;0,055077502;0,059044309;0,081192821;0,072396014;0,062137341;0,070172216;0,06096268;0,063862953;0,087322074;0,232181393;0,315106743;0,262260772;0,253302004;0,274358517;0,231611193;0,199194671;0,18473426;0,104611314;0,146547598;1,750012841;1,546679222;1,123177818;1,274154761;1,009400889;0,841613191;0,951714475;0,916083139;0,930289575;1,423514916;0,013015307;0,158717095;0,086035647;0,011984471;0,013264419;0,042531483;0,081653988;0,064451063;0,014584955;0,101006978;0,083195469;0,088739811;0,01974786;0,016678524;0,015443684;0,006293621;0,053093122;0,087795224;0,116752044;0,077490198;1,47742E+12;1,31512E+12;1,52651E+12;1,60128E+12;1,73433E+12;1,89987E+12;2,01992E+12;2,03708E+12;2,01543E+12;2,05812E+12;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
68;81;8109;KABUPATEN BURU SELATAN;8109;902;1014;1113;1207;1305;1406;1419;1488;1632;1766;;;;;;;;;;;0,02544447;0,085898554;0,024688925;0,083819799;0,017685268;0,023858337;0,117016858;0,013374328;0,006587254;0,01029183;0,022171349;0,021578622;0,036599101;0,021464733;0,020367139;0,022633402;0,030968263;0,029779477;0,02419518;0,02873042;0,385742435;0,396161259;0,392206596;0,336063303;0,349393544;0,243156598;0,177800428;0,22714684;0,153481907;0,121508788;2,519926327;1,268923634;1,931252283;0,975915466;0,922478223;0,758474348;0,62342322;0,776251292;0,500875613;0,527335052;0,120803883;0,094374057;0,036066937;0,050526441;0,045825597;0,041694044;0,143801637;0,050543015;0,003985099;0,079250739;0,182087598;0,130553791;0,110747366;0,037827894;0,027795348;0,023669207;0,021685758;0,048935915;0,029625799;0,067229443;8,29011E+11;1,03002E+12;1,22384E+12;1,32582E+12;1,4896E+12;1,53661E+12;1,68944E+12;1,7713E+12;1,75724E+12;1,77586E+12;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
69;85;7410;KABUPATEN BUTON UTARA;7410;1980;2165;2407;2645;2877;3132;3211;3421;3802;4049;;;;;;;;;;;0,018970764;0,046522954;0,057527993;0,032422915;0,015350764;0,036492033;0,088099119;0,035822571;0,062509085;0,015292912;0,022147311;0,026989415;0,020653967;0,041871867;0,024041095;0,035786388;0,032394813;0,032874348;0,028437647;0,032015933;0,439653097;0,409392646;0,359347741;0,299410356;0,266265542;0,220032799;0,189253581;0,206231459;0,300454285;0,278855185;1,240219312;1,297994659;0,995907028;2,009752418;0,598560263;1,448809196;0,986020406;1,271337582;0,969320484;1,034018835;0,032591711;0,014317388;0,05477959;0,016090359;0,019742647;0,017159982;0,079756488;0,050840043;0,06426251;0,020552743;0,098622331;0,120975094;0,034947536;0,016761421;0,024053316;0,064518244;0,035432477;0,096913748;0,181711584;0,03477388;1,28077E+12;1,21132E+12;1,33821E+12;1,35396E+12;1,24058E+12;1,46139E+12;1,39324E+12;1,52916E+12;1,75932E+12;1,76285E+12;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
70;86;3207;KABUPATEN CIAMIS;3207;20395;22588;24524;26544;29134;31583;31974;33688;36774;39841;;;;;;;;;;;0,384172504;0,127440953;0,064850394;0,138075022;0,168463324;0,209985903;0,067359547;0,143415774;0,106906924;0,179302189;0,09090215;0,078648058;0,086292463;0,086391044;0,091160169;0,089551132;0,097011354;0,102306299;0,112468334;0,098366653;0,174093711;0,212441629;0,223403693;0,17900284;0,169953394;0,193237045;0,156320709;0,148787278;0,156719827;0,112535884;1,313456376;1,051633986;1,247141145;1,111529633;1,08999169;1,109979054;1,005845527;1,080274171;1,332173169;1,082081466;0,281728653;0,082546528;0,070607437;0,114519495;0,170062632;0,104239013;0,071639689;0,135108911;0,02294017;0,098042541;0,075924365;0,050417329;0,003643403;0,018322229;0,005026337;0,083257705;0,031583495;0,017019759;0,016508637;0,003762923;3,57914E+12;2,52826E+12;3,14399E+12;2,75667E+12;3,0622E+12;3,75206E+12;3,7305E+12;3,93525E+12;4,05495E+12;4,04188E+12;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;87;3203;KABUPATEN CIANJUR;3203;28925;32350;35386;38575;42935;46807;47535;50138;53989;58391;;;;;;;;;;;0,06497428;0,141255865;0,009290056;0,178929522;0,173116294;0,136721047;0,047490947;0,363256136;0,05514036;0,000335682;0,156577735;0,145992808;0,140408621;0,142187692;0,14184448;0,157320356;0,150239601;0,195504552;0,139744055;0,151784814;0,181000572;0,190582978;0,182348316;0,224669193;0,232094916;0,175503543;0,098495249;0,098557562;0,086908156;0,122071257;1,474536911;1,112044934;1,071618761;1,119327486;0,974137483;1,043153902;0,812879072;1,183765939;0,524838375;0,832481746;0,021887793;0,082676394;0,01319086;0,134889849;0,165282873;0,107514055;0,056970435;0,294708955;0,05913233;0,024009747;0,075799675;0,079649889;0,03091045;0,052958399;0,052147238;0,071859961;0,048681548;0,07915936;0,071587219;0,056020365;5,01973E+12;4,50026E+12;4,82261E+12;5,45024E+12;6,13689E+12;6,52574E+12;6,40583E+12;6,60058E+12;6,68565E+12;6,80535E+12;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;88;3301;KABUPATEN CILACAP;3301;92026;98877;99034;103922;109754;114194;104543;109654;121022;132442;;;;;;;;;;;0,150737518;0,151563657;0,003370179;0,058295704;0,041777151;0,031618317;0,061885323;0,004986096;0,011178514;0,006246875;0,157980265;0,149730366;0,153289258;0,211292246;0,171731259;0,174935162;0,187585118;0,221675845;0,212693792;0,221095327;0,187889367;0,2192336;0,267904432;0,21597631;0,184510128;0,202027511;0,149710801;0,175330131;0,157879258;0,133915551;1,625094233;1,460144857;1,304686056;1,8018383;1,254356219;1,147789809;0,956901989;1,052328142;0,943911044;1,014381902;0,026722427;0,064313455;0,063407258;0,011338177;0,032145968;0,02050498;0,130445708;0,08691194;0,029012809;0,022329271;0,210481451;0,207405941;0,071673975;0,072205625;0,098357115;0,085556878;0,102963243;0,094192823;0,056379054;0,040290527;4,46003E+12;4,10127E+12;4,01921E+12;3,8736E+12;4,59047E+12;5,73506E+12;6,04727E+12;6,34508E+12;6,63104E+12;6,81302E+12;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;89;3209;KABUPATEN CIREBON;3209;32579;35735;38841;41919;45462;49186;49562;52310;56654;61310;;;;;;;;;;;0,062934464;0,130545605;0,019759317;0,171837329;0,186891346;0,194179829;0,05338973;0,151949758;0,191341563;0,152395654;0,16566926;0,151402432;0,157342472;0,216992484;0,158783601;0,159029974;0,163237672;0,172051176;0,200776016;0,185331061;0,125947838;0,14722368;0,178547293;0,169414156;0,138782776;0,146018236;0,080383;0,091695952;0,078757011;0,090405529;1,230251707;1,086802642;1,142763557;1,617638458;1,164999401;1,068520917;0,955035397;1,013317866;1,099306612;0,918177694;0,019723594;0,05517129;0,006478953;0,146152204;0,153224965;0,166582699;0,018734886;0,122749305;0,165023712;0,154285841;0,079457747;0,123003127;0,098887255;0,084907206;0,081469596;0,071948338;0,096884825;0,095610781;0,087089686;0,045920636;3,88189E+12;3,09015E+12;3,47485E+12;3,76192E+12;4,04901E+12;4,57449E+12;1,1038E+12;4,87384E+12;4,83429E+12;4,98423E+12;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;90;1211;KABUPATEN DAIRI;1211;6268;6823;7484;7980;8561;9166;9318;9711;10717;11651;;;;;;;;;;;0,065008479;0,064852499;0,032842099;0,035406625;0,028909492;0,010090068;0,106669743;0,015236598;0,01130133;0,028807997;0,069839179;0,066086934;0,063990609;0,113327225;0,068376633;0,063690731;0,085093644;0,063338447;0,073139043;0,071373206;0,208861321;0,207488035;0,219401071;0,227332233;0,1815967;0,17466747;0,131896175;0,156903127;0,153372024;0,151870547;2,199903585;0,972056899;0,898943034;1,936710352;0,728674998;0,862839178;1,032575057;0,838342433;1,201440778;1,078939835;0,010583816;0,004465369;0,107901163;0,019090396;0,039845436;0,051767143;0,134431903;0,061669684;0,049429732;0,000200967;0,099058931;0,105970597;0,133172623;0,107472589;0,08136635;0,106516833;0,108806346;0,100552764;0,122798927;0,079660967;2,05399E+12;1,69787E+12;1,86274E+12;1,91257E+12;1,96072E+12;2,0442E+12;1,89447E+12;1,98826E+12;2,04925E+12;4,14584E+12;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;91;9128;KABUPATEN DEIYAI;9128;758;921;1063;1157;1267;1388;1436;1491;1572;1664;;;;;;;;;;;0,131598576;0,003277095;0,055862905;0,036782155;0,062149205;0,063016496;0,048975787;0,000274003;0,046166917;0,116428898;0,005538085;0,010482028;0,009187186;0,002486677;0,001409043;0,003074668;0,003255201;0,006028932;0,052630853;0,0916881;0,307668316;0,350506542;0,318370168;0,204338518;0,217945051;0,17268886;0,149200358;0,173928539;0,164530874;0,108913357;1,432766398;2,871317536;2,92481358;0,757349509;0,844060173;1,727946043;2,708054066;0,681700506;1,68014443;8,708742963;0,077935842;0,004148455;0,034762794;0,088768116;0,062305523;0,032866792;0,016014364;0,048824616;0,118747915;0,100338469;0,149178472;0,019335423;0,034032446;0,013389363;0,013490012;0,017010321;0,002909526;0,009271671;0,015504914;0,014541555;9,85519E+11;1,04919E+12;1,33236E+12;1,33795E+12;1,5223E+12;1,38597E+12;1,32764E+12;1,24705E+12;1,26675E+12;1,30108E+12;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
76;92;1207;KABUPATEN DELI SERDANG;1207;69674;76735;85152;93194;101060;109334;110145;115306;127547;139098;;;;;;;;;;;0,132197164;0,145320136;0,106753011;0,021434987;0,099117817;0,103706616;0,155924599;0,114156649;0,112202343;0,110145603;0,17708134;0,185214767;0,184108975;0,254884753;0,216943954;0,230999792;0,242769086;0,261674011;0,279192671;0,272027369;0,23145794;0,179743328;0,186756835;0,219512835;0,195927693;0,195279233;0,146695686;0,149956777;0,150316795;0,134216176;0,765681951;0,816991864;0,85240348;1,281717374;0,728972793;0,706435703;0,686232345;0,648812258;0,704097953;0,681460631;0,151163304;0,160980067;0,148389003;0,03411483;0,091267919;0,103342571;0,177032804;0,137314628;0,113703998;0,112943729;0,045215306;0,05631033;0,083093008;0,059702028;0,036624471;0,023329604;0,042039847;0,054355569;0,04687606;0,042331786;5,75124E+12;4,65973E+12;6,15237E+12;6,83006E+12;7,56139E+12;7,38824E+12;7,67637E+12;7,96249E+12;8,20136E+12;8,69271E+12;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;93;3321;KABUPATEN DEMAK;3321;17381;19334;20939;22621;24431;26184;26546;27650;30252;33017;;;;;;;;;;;0,203249636;0,174301796;0,058017481;0,108277348;0,094398235;0,08141634;0,013608909;0,019235689;0,024417403;0,009829308;0,134515787;0,142320226;0,147228374;0,150234254;0,159718131;0,172479991;0,188407712;0,18814549;0,198607755;0,210219385;0,346168503;0,306865293;0,307648004;0,230185443;0,202277064;0,197194287;0,12552315;0,119829025;0,138421367;0,112464575;1,388743794;1,233127526;1,218734047;1,209266639;1,241537278;1,19918878;1,087346051;1,111770141;1,056671903;1,100279505;0,095066545;0,088624191;0,05717651;0,026487303;0,017875551;0,016089693;0,041378725;0,021197676;0,015394456;0,028076466;0,141147179;0,116182108;0,03428565;0,060435087;0,093471582;0,095274207;0,104994562;0,102424469;0,059365061;0,051375673;3,2558E+12;2,79743E+12;3,34565E+12;4,92703E+12;5,08465E+12;5,45047E+12;5,69712E+12;5,91464E+12;5,8736E+12;5,84216E+12;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;95;9126;KABUPATEN DOGIYAI;9126;787;895;1002;1099;1208;1310;1356;1411;1438;1539;;;;;;;;;;;0,152682914;0,022596195;0,088298107;0,042678979;0,027501616;0,067458089;0,038133918;0,007037173;0,07629806;0,133099444;0,010419652;0,01031494;0,011790167;0,010706794;0,011357757;0,009572845;0,008536526;0,010494806;0,050733658;0,01828578;0,398946448;0,367192294;0,333997304;0,200124729;0,21072222;0,180356413;0,201774977;0,185595045;0,139335367;0,162079272;3,318396052;3,241259992;4,951298779;3,241008576;1,928971621;1,660243008;0,788598323;0,9466503;5,198837783;3,335183947;0,016286029;0,075237459;0,038006858;0,001975987;0,00516101;0,051645426;0,078288828;0,066191198;0,00343212;0,074039039;0,182054943;0,084002144;0,013614113;0,00318144;0,046251251;0,019606714;0,014738947;0,049427968;0,077966907;0,091392776;1,1395E+12;1,72259E+12;1,37462E+12;1,46939E+12;1,58548E+12;1,64254E+12;1,72989E+12;1,54718E+12;1,61699E+12;1,69787E+12;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
79;96;5205;KABUPATEN DOMPU;5205;4469;5039;5554;6145;6680;7173;7064;7339;7826;8511;;;;;;;;;;;0,042476777;0,040388471;0,025907352;0,057969285;0,010316949;0,027076194;0,120186423;0,007455927;0,069424846;0,022611876;0,09414513;0,079587579;0,078678918;0,129845143;0,087777982;0,090710757;0,108863641;0,118076857;0,104977298;0,098389833;0,162158889;0,191571815;0,203627348;0,228452512;0,228092229;0,21712305;0,129631576;0,131586891;0,174589137;0,132770009;1,148123564;0,956036723;1,049887203;1,767562599;1,050349345;1,043819849;1,01221209;1,200942991;1,597540122;1,221252729;0,033039366;0,01297103;0,084213283;0,012864947;0,030466259;0,072418612;0,142085002;0,022141644;0,028377113;0,031213102;0,072838085;0,085650429;0,099224493;0,067871951;0,043239678;0,053954788;0,051259043;0,067322005;0,063307315;0,02070137;1,25261E+12;1,26598E+12;1,41376E+12;1,51363E+12;1,61283E+12;1,76355E+12;1,72656E+12;1,72878E+12;1,86887E+12;4,32631E+12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
80;97;7203;KABUPATEN DONGGALA;7203;8381;9345;9984;10766;11292;12261;11737;12558;13781;15056;;;;;;;;;;;0,034446262;0,163581786;0,022679662;0,012682263;0,011533026;0,354801818;0,05549574;0,001718872;0,009416109;0,074698843;0,068148566;0,055239056;0,055950518;0,10014964;0,05162256;0,043879436;0,083695156;0,050416731;0,055183373;0,071881598;0,219759452;0,247302932;0,280405718;0,144586016;0,127011498;0,186114531;0,126896868;0,185888604;0,157884926;0,170186351;1,264138021;1,082159719;1,335894558;1,666433529;0,907921466;0,917254307;1,372195348;1,025680312;0,848530396;1,880406838;0,010017146;0,091350718;0,009647475;0,049899817;0,038388989;0,054256066;0,057456647;0,017927296;0,005598207;0,079073137;0,071832143;0,084777887;0,019217988;0,003686036;0,006827015;0,303016285;0,066631898;0,072912415;0,072571876;0,066397813;1,87947E+12;1,74437E+12;1,73856E+12;1,70301E+12;1,7031E+12;2,59003E+12;2,34547E+12;2,33323E+12;2,35752E+12;5,11359E+12;1;1;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
